,Hospital,State,City,LocalAddress,Pincode
445,Artemis Medicare Services Ltd,Haryana,Gurgaon,"Sector-51,",122001
446,Arthroscopy & Spinal Endoscopy Centre,Punjab,Chandigarh,"Sco66, Sector 20C, Chandigarh-160020",160020
447,Arthur Astrvatham Hospital,Tamilnadu,Madurai,"No.42-A,Kuruvikaran Salai,",625020
448,Arul Hospital,Tamilnadu,Trichy,"#6A,T.V.K.Nagar,Puthur",620017
449,Arul Mission Hospital,Tamilnadu,Tirunelveli,"7A1 & 2,North Main Road,Vallioor",627117
450,Arumana Hospital,Kerala,Trivandrum,Perunthanni,695008
451,Arun Hospital,Tamilnadu,Madurai,"#186,Munichalai Road,",625009
452,Arun Hospital (Pollachi),Tamilnadu,Pollachi,"49/84, New Scheme Roadpollachi Coimbatore",642002
453,Arun Hospital (Theni),Tamilnadu,Theni,"51, Uthamapalayam Road,Bus Stand Bodinayakanur",625513
454,Arun Kidney Centre,Andhra Pradesh,Vijayawada,"#29-23-9,Tadepallivani Street,Suryaraopet",520002
455,Aruna Aspatal,Rajasthan,Chittorgarh,"#16, Rajeev Coloni, Meera Market, Chittorgarh, Rajasthan",312001
456,Aruna Hospital,Karnataka,Tumkur,"Dr.Radhakrishan Road, Tumkur",572102
457,Aruna Shakti Nursing Home,Orissa,Sambalpur,A.N. Guha Lane,768001
458,Arunn Surgery,Tamilnadu,Coimbatore,"Dr.Nanjappa Road,",641018
459,Arunodaya Deseret Eye Hospital,Haryana,Gurgaon,"# Nh 4, Sector-55, Gurgaon, Haryana",122003
460,Arunodaya Health Care,West Bengal,Hooghly,"Lichubagan, Po-Garalgacha,P.S-Dankuni.",712708
461,Arunodaya Hospitals,Karnataka,Bangalore,"# 18-23,4Th And 5Th Cross Mallasandra Main Road",560057
462,Arunpriya Nursing Home,Tamilnadu,Nagapattanam,"3&4, Pattamangalam Street,Nagapattinam",609001
463,Arushi Medical Centre,Uttar Pradesh,Lucknow,"B-1/31, Sector-K, Aliganj, Lucknow - 226024",226022
464,Arvind Hospital Pvt Ltd,Bihar,Patna,"Ashok Rajpath,Opp.Pmch,",800004
465,Arvinth Hospital,Tamilnadu,Namakkal,"# 17, Rangar Sannathi Street,Namakkal- 637001",637001
466,Arya Hospital,Delhi,Delhi,"C-1/101.Pankha Road,Janak Puri,New Delhi West,",110058
467,Arya Hospital Pvt Ltd,Punjab,Chandigarh,"Sco-801, Manimajra",160101
468,Arya Medical Centre,Karnataka,Ankola,Dinkar Desai Road.,581314
469,Asarfi Hospital Pvt Ltd,Jharkhand,Dhanbad,"At Baramuri Po,Bishanpur,Dhanbad",828130
470,Asg Eye Hospital Ltd-Jaipur,Rajasthan,Jaipur,"D-247, Bihari Marg, Bani Park, Opp. K.P. Auto, Jaipur, Rajasthan",302005
471,Asg Eye Hospital Ltd-Jodhpur,Rajasthan,Jodhpur,"A-322, Shastri Nagar, Jodhpur, Rajasthan",342003
472,Asha Hospital,Andhra Pradesh,Hyderabad,"H.No.19-66/11,Prashanagar Phase Ii,Behind Spencers, Hitention Road,Kapra",500062
473,Asha Hospital,Maharashtra,Mumbai,"# 1, Akurli Cross Road, Kandivli East,Premaskram Manidr Lane,",400101
474,Asha Hospital,Maharashtra,Nagpur,"#7,Near Lekhanagar,Cantonment,Kamptee",441001
475,Asha Hospital& Iccu,Maharashtra,Mumbai,"Plot # 134,Sect 4, Aniatic Society, Airoli,Navi Mumbai-400708",400708
476,Asha Maternity & Childrens Hospital,Maharashtra,Jalgaon,"Ganesh Raod, Chalishoon Dist,",424101
477,Asha Maternity & General Hospital,Maharashtra,Mumbai,"Pooja Building, Pushpa Park, Daftary Road, Malad East.",400097
478,Asha Orthopaedic Hospital,Maharashtra,Mumbai,"Bashi Kalingar,#2,Geetha Bhavan Lane Off,Navghar Road,Bhayander East,Thane",401105
479,Asha Polyclinic & Shetal Nursing Home,Maharashtra,Mumbai,"145, 60 Feet Road,Opp.Uti Bank,Ghatkopar(E)-400077Chatkopur (E), Mumbai - 400077",400077
480,Ashirvad Hospital,Karnataka,Chickmangalur,"Rathnagiri Road,",577101
481,Ashirwad Children & Surgical Hospital,Maharashtra,Mumbai,"No.301-306,Ruby Monarch Bldg,Sakivihar Road,Sakinaka,Opp.Post Office,",400072
482,Ashirwad Hospital,Maharashtra,Mumbai,"#117,Kaap Kaneri,Thane,Opp Gopal Nagar Near Kalyan Naka",421302
483,Ashirwad Hospital,Maharashtra,Mumbai,"Maratha Section,Near Jijamatha Udyan,Ulhasnagar,Thane",421004
484,Ashirwad Hospital,Maharashtra,Pune,"2Nd Floor,Punit Yash Arcade,Near Kothurd Bus Stand,Karve Road",411038
485,Ashirwad Hospital & Poly Clinic,Maharashtra,Mumbai,"#101, 103, Anurag Busines Centre, W.T.Patil Marg, Ghtla Villate, Chemburw.T. Patil Marg,Ghatla Village",400071
486,Ashirwad Hospital & Research Centre,Uttar Pradesh,Varanasi,"B-38/1-C, Virdopur, Mahmorganj, Varanasi-221010",221010
487,Ashirwad Maternity & General Hosptial,Maharashtra,Thane,"17,18 Samir Apt,Jesal Park,Bhayandar East,Thane",401105
488,Ashirwad Maternity & Nursing Home,Maharashtra,Mumbai,"A/5,Harsh Appartment,Anand Nagar,Dhisar East",400068
489,Ashirwad Medical & Orthopedic Hospital,Gujarat,Patan,"4-A, Subhadra Nagar, Opp. Technical School, Patan.",384265
490,Ashirwad Nursing Home,Madhya Pradesh,Ratlam,"55-56,Ved Vyas Colony",457001
491,Ashirwad Nursing Home,Maharashtra,Nalasopara,"'C'Wing, Seema Complex, Tulinj Road,Nalasopara(E),Thane,",401205
492,Ashirwad Nursing Home & Research Centre,Orissa,Sambalpur,Hospital Raod,768001
493,Ashirwad Orthopaedic And Surgical Nursing Home,Maharashtra,Mumbai,"Jambli Galli, Opp. Jain Temple, Borivali(W)",400092
494,Ashirwad Surgical Hospital,Gujarat,Amraiwadi,"Wonder Paint,Nh8 Ctm,Amraiwadi",380028
495,Ashish Hospital,Madhya Pradesh,Jabalpur,"#1309, Napier Town,Home Science College Road.",482001
496,Ashish Orthopaedic Hospital,Gujarat,Ahmedabad,"24, Himalaya Complex, Nehru Park, Vajtrapur",380015
497,Ashok Hospital,Karnataka,Bangalore,"#65,N.H.C.S. Lay-Out, 3Rd Stage, 4Th Block, Basaveshwar Nagar, Kamalanagar Main Road.",560079
498,Ashok Hosptial,Tamilnadu,Hosur,"#10-A, 1St Cross, Old Banfalore Road, Hosur,",635109
499,Ashok Nursing Home,Delhi,Delhi,"F-3/15, Vijay Chowk,Krishna Nagarkrishnanagar, Delhi-110051.",110051
500,Ashoka Hospital,Kerala,Kannur,South Bazar.,670002
501,Ashraya Hospital,Karnataka,Bangalore,"#26, Jetiappa Complex,Yelachenahalli, Kanakapura Rd",560078
502,Ashraya Hospital,Karnataka,Chickmangalur,P B No 77 Naidu Streetchikmagalur,577101
503,Ashraya Hospital,Karnataka,Davangere,"No.1977/1 & 2,Mcc 'A' Block,Shamanur Road,Davanagere",577004
504,Ashraya Medinova Pvt Ltd,Karnataka,Bangalore,"Magadi Main Road,Sunkadakatte,Srigandadakaval,",560091
505,Ashtavinayak Maternity Eye & Sugical Nursing Home,Maharashtra,Mumbai,"Mtnl Marg College Lane, Ramgiri Heights, 104 First Floor.",400028
506,Ashtvinayak Hospital,Maharashtra,Raigad,"Khanda Colony,New Panvel West.",410206
507,Ashveny Clinic,Tamilnadu,Sivakasi,"1/6, Periyakaruppan Road,Sivakasi-626189",626189
508,Ashvini Maternity & Gynecological Hospital,Maharashtra,Raigad,"Plot #59/1,Old Thanaka Road,Panvel",410206
509,Ashwani Hospital,Haryana,Faridabad,"Sector 9, Huda,Market,Opp Comunity Centre",121001
510,Ashwani Hospital,Haryana,Faridabad,8-D1/Sector-11,121006
511,Ashwin Hospital,Tamilnadu,Erode,"#212/545,Skc Road,Surampatti Nall Road,",638001
512,Ashwin Hospitals,Tamilnadu,Coimbatore,"#1, Alamu Nagar Road,Coimbatore-641012.",641012
513,Ashwini Accident Multispeciality Hospital,Maharashtra,Nashik,"Govind Nagar,Chowk #5,Behind Hotel Prakash,",422001
514,Ashwini Hospital,Karnataka,Bangalore,"#129, Katruguppa, Bsk 3Rd Stg,",560085
515,Ashwini Hospital,Karnataka,Bangalore,"B.B.Road, Yelahanka,Bangalore-560064",560064
516,Ashwini Hospital,Karnataka,Dakshinakannada,"Nh-48, Nellyady,Dakshina Kannadadakshina Kannada",574229
517,Ashwini Hospital,Maharashtra,Pune,"Dattahasta 20/156,Bijali Nagar,Chinchwad",411033
518,Ashwini Hospital(A Unit Of Cuttack Hospitals Pvt Ltd),Orissa,Cuttack,"Plot No.P3, Sector-1, Cda, Cuttack",753014
519,Ashwini Kidney & Dialysis Centre,Maharashtra,Nagpur,"301 & Central Bazar Road, Ramdaspeth, Neet Gaurav Complex, Nagpur, Maharashtra",440010
520,Ashwini Maternity & Surgical Hospital,Maharashtra,Mumbai,"Ambika Darshan, M G Road, Above Bharti Jewellers, Rajawadi, Ghatkopar East, Mumbai - 400075 ,M.G.Road, Ghatkopar",400075
521,Ashwini Multispeciality Hospital,Maharashtra,Mumbai,"Vadvau Section, Ambernath,Thane",421501
522,Ashwini Nursing And Maternity Home,Maharashtra,Mumbai,"Mohan Niwas Keluskar Rdnear Meenatai Thakare Statue Shivaji Parkkeluskar Road, Dadar (W)",400028
523,Ashwini Nursing Home,Karnataka,Bangalore,"#9, 1St A Cross. T.C. Palya Main Road, Akshyanagar, Ramamurthy Nagar.",560016
524,Ashwini Nursing Home,Karnataka,Bangalore,"#382,Narayanappa Buildingd Ramamurthynagar",560016
525,Ashwini Nursing Home,Karnataka,Davangere,"Akka Mahadevi Road,A.V.K.College Road,P.J.Extension,Near Bapuji Corporation Bank,",577002
526,Ashwini Nursing Home,Maharashtra,Pune,"S.No#51,Plot#16,Dhanori Road,Maharanapratap Chawk,Vishrantwadi",411015
527,Ashwini Sahakari Rugnalaya & Research Centre,Maharashtra,Sholapur,"North Sadar Bazar, Near Bhagatsingh Marketnear Bhagatsingh Market,",413003
528,Asian Eye Institute & Laser Centre,Maharashtra,Mumbai,"# 101A, Satya Narayan Apartment,Off M.G.Road, Borivali(E), Mumbai-400066",400066
529,Asian Globus Liver & Gastroenterology Centre,Madhya Pradesh,Bhopal,"E-5/24,Arera Colony, Arera Petrol Pump, Bhopal",462016
530,Asian Institute Of Gastroenterology,Andhra Pradesh,Hyderabad,"6-3-661, Somajiguda, Near Red Rose Hotel, Hyderabad-500082",500082
531,Asian Institute Of Medical Science,Maharashtra,Thane,"Plot No.P-72,Milap Nagar,Midc,Dombivli,Thane,",421203
532,Asian Institute Of Medical Sciences (A Unit Of Blue Sapphire Health Care Pvt Ltd),Haryana,Faridabad,Badkal Flyover Road Opp C.P Office,121001
533,Asian Specialty Hospital (A Unit Of Orch Hospital And Healthcare Services Llp),Karnataka,Hsr Layout,"# 11/A, 9Th Main, 13Th Cross, 6Th Sector Hsr Layout, Outer Ring Road, Bangalore-560102Hsr Layout",560102
534,Asopa Hospital,Rajasthan,Jaipur,"93-B Tagore Nagar, Jaipur, Rajasthan-302024, Near D.C.M.",302024
535,Asopa Hospital & Research Centre,Uttar Pradesh,Agra,"Garland Road, Off By Pass.",282007
536,Assured Best Care Hospital,Tamilnadu,Trichy,"#1, Annamalai Nagar Main Road Thillai Nagarannamalai Nagar",620018
537,Aster Aadhar Hospital (Prerana Hospital Ltd),Maharashtra,Kolhapur,"R.S. No.628, 'B' Ward, Shastri Nagar, Near Kmt Workshop, Kolhapur, Maharashtra-416012Mangalwar Peth",416012
538,Astha Hospital,Uttar Pradesh,Noida,"N.H-05, Block-2, Sector-Alpha-2, Greaer Noida-201306",201306
539,Aswene Soundra Hospital & Research Centre,Tamilnadu,Chennai,"# 24,Kasturi Rangan Road,Teynampet",600018
540,Aswinee Nursing Home,Andhra Pradesh,Vijayawada,"D.No.29-26-56,Suryaraopet,Jadagamvari Street,Vijayawada,",520002
541,Aswini Hospital,Kerala,Trichur,"Karunakaran Nambiar Road, Thrissur-680020",680020
542,Aswini Hospitals,Andhra Pradesh,Guntur,"15-1-17, 150 M5 From Rtc Bus Stand",522001
543,Aswini Mother & Child Hospital,Andhra Pradesh,Westgodavari,"Taylor Pet,Narsapur",534275
544,Aswini Netralayam,Andhra Pradesh,Guntur,"16-2-89, Guntur Road, Narasaraopet.",522601
545,Atam Prakash Yadav Hospital,Haryana,Rewari,"Near Nai Anaj Mandi,Bharawas Road",123401
546,Athare Patil Memorial Hosp And Research Center Pvt Ltd,Maharashtra,Ahmednagar,"185,Savedi Road,Ahmednagar-414001Maharashtra",414001
547,Athena Hospital,Karnataka,Mangalore,"Falnir Road, Mangalore-575001, Opp Ymca, Near Platinum Theatre",575001
548,Athipathi Hospital And Research Center,Tamilnadu,Chennai,"Plot No 1,100 Ft Rd,Tanni Nagar,Velachary",600042
549,Athreya Hospital,Karnataka,Virajpet,"Gonikoppal Road Opp, Kstrc Bus Stands.Kodagu",571218
550,Atlas Hospitals,Tamilnadu,Tiruchirapalli,"34/1-First Cross, V.N. Nagar, Near Chathiram Bus Stand, Tiruchirapalli-620002",620002
551,Atole Accident Hospital,Maharashtra,Baramati,"Avdhoot Plaza,Bhigwan Road,",413102
552,Attharva Accident Hospital,Maharashtra,Pune,"Plot # 17,Vadgaon Road,Near Bank Of Maharashtra,Talegaon Dabhade",410507
553,Attingal Speciality Hospital,Kerala,Trivandrum,Parvathipuram Gramom.,695101
554,Atul Hospital,Maharashtra,Mumbai,"26-A,Bharat Nagar, Grant Roadbharat Nagar",400008
555,Atul Lok Hospital,Maharashtra,Mumbai,"#139/2447,Tagore Nagar,Group-7,Vikhroli East",400083
556,Atul Nursing Home,Uttar Pradesh,Agra,"#1/58, Delhi Gate, Opp. Pushpanjali Hospital, Agra-282002",282002
557,Aum Eye Hospital,Gujarat,Jamnagar,"Jolly Bunglow Complex,Summair Club Road,",361005
558,Aum Hospital,Chattisgarh,Durg,"House # 22, Ward # 18.",491001
559,Auro Ent Hospital,Gujarat,Ahmedabad,"Sanjeevani Complex Opp Mehsana Society, New Vadaj Road",380013
560,Aurobindo Netralaya,West Bengal,Kolkata,"4A,Rajendra Beb Road,",700007
561,Auroma Ent Hospital,Gujarat,Ahmedabad,"Agrawal Tower, Bhuyangdev Cross Road, Ghatlodia",380061
562,Austmangal Surgical Hospital,Gujarat,Ahmedabad,"Ahmedabad, Civil Hospital (1 Km)",380004
563,Avadh Hospital & Heart Centre,Uttar Pradesh,Lucknow,"9-D, Singar Nagar, Kanpur Road.",226005
564,Avadhani Nethralaya,Karnataka,Bangalore,"No.33,1St Floor,Patalamma Temple Street,Basavanagudi,",560004
565,Avadhoot Hospital & Iccu,Maharashtra,Mumbai,"Plot # 29,Sector-19,Thane",400708
566,Avanitka Hospital,Delhi,Delhi,"#168/A-00/Sector-2, Rohini, Near Pole Star Public School.",110085
567,Avanti Institute Of Cardiology Pvt. Ltd.,Maharashtra,Nagpur,"# 5, Abhyankar Road,Dhontolidhantoli, Nagpur-440012",440012
568,Avantika Hospital,Uttar Pradesh,Ghaziabad,"No.137,Niti Khand-Ii,Indirapuram,",201010
569,Avhieta Hospital & Health Care,Karnataka,Bangalore,"280/1 Byrathi Cross, Hennur Bagalur Main Road, Bangalore-560077",560077
570,Avinash Shah Memorial Multispeciality Hospital,Karnataka,Gulbarga,"184-20/08/2007,Jayanagar,Sedam Road",585105
571,Avm Medical Ent Research Fundation,Tamilnadu,Chennai,"3, P.S.S. Road,Mylapore",600004
572,Avss Hospitals,Tamilnadu,Madurai,"# 32A, Kuruvikkaran Salai, Madurai-625009",625009
573,Aware Global Hospital (A Unit Of Ravindranath Ge Medical Associates Pvt Ltd),Andhra Pradesh,Hyderabad,"08-16-01, Lingojiguda,Saroornagar,L.B.Nagar",500035
574,Aware Global Hospitals,Andhra Pradesh,Hyderabad,"Shanthivanam, Nagarjuna Sagar Roadnagarjuna Sagar Road,",500035
575,Axis Eye Foundation,Andhra Pradesh,Hyderabad,"Suite # 502, Rivera Apts Dwarakapuri Colony Panjagutta",500082
576,Axon Hospitals,Andhra Pradesh,Hyderabad,"8-3-215,Srinvasanagar, Colony West, Opp Icici Bank Sr Nagar,Hyderabad-500038",500038
577,Aysha Hospital,Tamilnadu,Chennai,"91A Millers Road, Kilpauk",600010
578,Ayub Ansari Nursing Home,West Bengal,Kolkata,"Q-39,S.A.Farooquie Road,Metiabru,",700024
579,Ayush Hospital,Andhra Pradesh,Hyderabad,"Premises # 1-2-30/7, Nizampet Road.",500072
580,Ayush Hospitals & Trauma Care Pvt Ltd,Orissa,Bhubaneswar,"#13-14,Acharya Vihar Square,Acharya Vihar,Bhubaneswar",751022
581,Ayushmaan Hospital & Diagnostic Institute,Chattisgarh,Raipur,"Sunder Nagar, Mahadeo Ghat Road, Raipur",492001
582,Ayushman Hospital,Delhi,Delhi,"# 2, Sec-12, Dwarka",110075
583,Ayushman Hospital,Madhya Pradesh,Bhopal,"C-Sector, Shahpura Lake",462014
584,Ayushman Hospital & Trauma Centre,Haryana,Gurgaon,37K.M. Hero Honda Chowk.,122001
585,Ayushman Hospital & Trauma Centre,Uttar Pradesh,Varanasi,"J25/59, Alaipur, G.T. Road, Infornt Of Varanasi City Railway Station, Varanasi-221001",221001
586,Ayushman Neuro Cardio Centre Shubham Hospital,Madhya Pradesh,Gwalior,"14-B,Vijaynagar Extension,Near Prem Motors,Baant Vihar",474002
587,Azam Hospital,Andhra Pradesh,Hyderabad,"21-4-189, Azam Hospital, Hussaini Alam, Hyderbad-500002",500002
588,Azra Memorial Hospital,Uttar Pradesh,Lucknow,"Water Works Road, Aishbagh Opp Ramleela Maidan Opp Ramleela Maidan Besides Aishbabagh Eidgah",226003
589,B M Birla Heart Research Centre,West Bengal,Kolkata,"1/1, National Library Avenue",700027
590,B M Hospitals,Tamilnadu,Chennai,"36, 5Th Main Road,Thillai Ganga Nagarcheenai",600061
591,B.A Hospital & Training Centre,Karnataka,Bantwal,"Thumbay,Bantwal",574170
592,B.B Hospital,Tamilnadu,Chennai,"No.52,Dayalu Nagar,Kolathur,Near Villirakham Railway Station,",600099
593,B.G Hospital,Tamilnadu,Tiruchendur,"1/143-B,Tuticorin Road,Veerapandianpatnam, Tiruchendur",628216
594,B.G. Hospital,Karnataka,Bangalore,"Mayamma Thimmappa Complex, Tumkur Road, Anchepalya.",560073
595,B.G.S Vivus Heart Centre,Karnataka,Mandya,"Bandhi Gowda Extension,Bangalore Mysore Highway,",571401
596,B.J. Lingegowda Hospital,Karnataka,Chanapatna,Bangalore-Mysore Road,571501
597,B.J.S.Bal Memorial Hospital,Punjab,Gurdaspur,"#11/4,Dharampur Colony,Batala,Gurdaspur",143505
598,B.K.Heart Hospital Pvt Ltd,Uttar Pradesh,Varanasi,"N 7/1,R-12,Bhikharipur,Dlw,Bhu,Varanasi",221004
599,B.K.Memorial Hospital,Assam,Sonitpur,"Natun Para Near Ganesh Mill Char Ali,Tezpur",784001
600,B.K.R Hospital,Andhra Pradesh,Hyderabad,"8-3-164/C, Erragadda, Beside Gokul Theatre.",500018
601,B.M. Gupta Nursing Home Pvt Ltd.,Delhi,Delhi,"H-11, Uttam Nagar, New Delhi",110059
602,B.M.Orthopaedic Hospital,Tamilnadu,Chennai,"No.3/157, Mth Road, Ambattur,Chennai - 53",600053
603,B.M.R Hospitals,Andhra Pradesh,Guntur,"6Th Lane,2Nd Cross,Arundelpet",522002
604,B.M.Silver Jubilee Multi Speciality Hospital,Tamilnadu,Kanchipuram,"41, Dharga Road, Pallavaram, Kancheepuram, Chennai-600043",600043
605,B.N.V Hospital Pvt Ltd,Kerala,Trivandrum,"Thiruvallam Post,Trivandrum",695027
606,B.P. Poddar Hospital & Medical Research Ltd,West Bengal,Kolkata,"71/1, Humayun Kabir Sarani,New Alipore,Blk-G,New Alipore, Block-G,Kolkata",700053
607,B.P.Jain Hospital,Tamilnadu,Kanchipuram,"Plot No.6,Gokulam Colony,Anna Salai,Pammal,Kanchipuram",600075
608,B.R. Hospital,Tamilnadu,Thiruvallur,"10&12, Alamaram Street, Tiruttani.",631209
609,B.R. Memorial Hospital,Haryana,Ballabgarh,"Fca-103, Mukesh Colony, Ballabgarh, Faridabad-121004",121004
610,B.S. Hospital,Tamilnadu,Chennai,"# 16, 3Rd Main Road,Chitlapakkam,",600064
611,B.S.S. Hospital,Tamilnadu,Chennai,"New No 200, Old # 179/1, R.K. Mutt Road, Mandaveli,",600028
612,B.Siddaramanna Hospital,Karnataka,Tumkur,"Opp Ib Railway Station Road,Gandhinagar",572102
613,B.T. Hospital,Delhi,Delhi,"182, Mukherjee Park,Khyla Road",110018
614,Babus Maternity Hosptial,Tamilnadu,Chennai,"# 7, Doraisamy Reddy Street, Tabaram",600045
615,Baby Hospital,Andhra Pradesh,Ananthapur,"12-2-950(12-358)Sai Nager 2Nd Cross,Anantapur",515001
616,Baby Memorial Hospital Ltd,Kerala,Calicut,"Indira Gandhi Road, E.K. Nayanar Flyover",673004
617,Bacc Health Care Private Limited,Karnataka,Bangalore,"No 6/7, Kumara Krupa Road,High Grounds,",560001
618,Badade Hospital,Maharashtra,Pune,"Agarwal Chambers,Mumbai Pune Highway",411044
619,Bafna Hospital & Orthopaedic Research Centre,Madhya Pradesh,Indore,"18/1, North Rajmohalla",452002
620,Bagade Hospital For Women & Maternity Home,Maharashtra,Pune,"B.No. 7B F. No.3+4, Agarsen Nagar Dapodi, Pune-Mumbai Road, Opp .Atlas Copco Co Dapodi",411012
621,Bagdi Nursing Home,Tamilnadu,Chennai,"3Rd Floor, #10, Solaiappan Streett.Nagar",600017
622,Bahl Hospital & Medical Research Centre,Rajasthan,Jaipur,"Hanumangarh Road, Chahal Chowk,Sri Ganga Nagar, Rajasthan.",335001
623,Bahusar Nursing Home,Karnataka,Mysore,"#3587,B.M. Road,Hunsur.",577105
624,Bajaj Eye Care Centre,Delhi,Delhi,"101, Vikas Surya Plaza, Plot # 7, Dda Community Centre Road # 44, Pitampura.",110034
625,Bajwa Hospital,Punjab,Amritsar,"No.314-315,Akash Avenue,F.C.Road,",143001
626,Bakhtar Hospital,Maharashtra,Amravati,"Raja Peth, Amravati-444601.",444601
627,Bakshi Hospital,Punjab,Bhatinda,"Str # 3, Bibiwala Road,Bathinda",151005
628,Balagangadhara Varma Nursing Home & Research Center,Tamilnadu,Chennai,"No 17, First Main Road,Narayanapuram",601302
629,Balaji Accident Hospital,Maharashtra,Malegaon,Malegaon Camp,423105
630,Balaji Eye Care & Laser Centre,Andhra Pradesh,Hyderabad,"1St Floor,D-No 6-3788/32,Durganagar Colony Main Road,Ameerpet",500016
631,Balaji Healthcare (Rajpal Hospital),Maharashtra,Mumbai,"Plot #.13, Sector 10, Kopar-Khairane",400709
632,Balaji Hospital,Haryana,Jind,"Rohtak Road,",126102
633,Balaji Hospital,Andhra Pradesh,Kurnool,"Balaji Hospital 43/19 N.R. Peta, Kurnool-500001",500001
634,Balaji Hospital,Andhra Pradesh,Secunderabad,"Plot #34,34/A,Pet Basheerabad,Ncl South,Medchal Road,Ranga Reddy",500055
635,Balaji Hospital,Andhra Pradesh,Warangal,"#15-4-17, S.V.N Road ,Warangal-506002",506002
636,Balaji Hospital,Karnataka,Bangalore,"40/1, J.J.R. Nagar Main Road,K.H. Ranganath Colony.",560018
637,Balaji Hospital,Karnataka,Tumkur,"B.H. Road, Tiptur.Near Aralikatte",572201
638,Balaji Hospital,Kerala,Palakkad,"11/787, Brindavan Street,Near Town Hallpalakkad",678001
639,Balaji Hospital,Tamilnadu,Chengalpattu,"No.14,Varadanar Street,Vedachalanagar,Chengalpattuvedachala Nagar",603001
640,Balaji Hospital,Maharashtra,Mumbai,"Victoria Road, Cross Lane 3.",400027
641,Balaji Hospital,Maharashtra,Pune,"Bye Pass Chowk,Nagar Road",411014
642,Balaji Hospital,Maharashtra,Thane,"Golden Nest Phas 5 Mira Road,Bhayandar Thane.",401105
643,Balaji Hospital ( A Unit Of Shri Vhmrc Pvt Ltd),Gujarat,Baroda,"Opp. Vidya Vikas School, Subhanpura.",390023
644,Balaji Maternity & Nursing Home,Maharashtra,Thane,"A 7/28,Hiramoti Complexshivaji Nagar, Wagle Estate",400604
645,Balaji Nursing Home,Karnataka,Bangalore,"Dommasandra Bus Stop,",562125
646,Balaji Nursing Home,Karnataka,Chickmangalur,"T.B. Road,Kadur.",577548
647,Balaji Speciality Hospital,Maharashtra,Mumbai,"1St Floor, Jalaram Commercial Centre,Sakivihar Road,Sakinaka,",400072
648,Balaji Surya Hospital,Tamilnadu,Erode,"#129,Pollachi Road,Dharapuram",638656
649,Balakrishna Eye Hospital & Eye Research Centre,Tamilnadu,Chennai,"11, Sastri First Cross Street, Chennai, Tamilnadu",600015
650,Balanku Hospital,Karnataka,Raichur,"Near Basavana Bhavi Chowk, Basavanagara, Raichur-584102",584102
651,Baldwa Hospital,Maharashtra,Mumbai,"Sumer Nagar, S.V. Road, Borivali West",400092
652,Bali Nursing Home,Delhi,Delhi,"D.B.Gupta Road, Karol Bagh",110005
653,Ballabgarh Nursing Home,Haryana,Faridabad,"64,65-Mukesh Colony Ballabgarn",121004
654,Banarasidas Chandiwala Institute Of Medical Sciences,Delhi,Delhi,"Chndiwala Estate, Maa Anandmai Marg Kalkaji, New Delhi",110019
655,Banashankari Hospital Pvt Ltd,Karnataka,Hubli,"Chitguppipark, Pinto Road,Hubli Dharkiad",580020
656,Bangalore Baptist Hospital,Karnataka,Bangalore,"Bellary Road, Hebbal, Bangalore-560024, Opp University Of Agricultural Sciences (Near Hebbal Flyower)",560024
657,Bangalore Eye Hospital & Retina Centre,Karnataka,Bangalore,"4C,426 4Th Cross, 2Nd Block,Kalyannagar.",560043
658,Bangalore Nethralaya Super Speciality Eye Hospital,Karnataka,Bangalore,"#946,21St Main, Near Bda Complex,Banashankari ,2Nd Stage",560070
659,Bangur Medicare Research Institute,West Bengal,Kolkata,"No.8A,Diamond Harbour Road,24 Parganas(S),3A Bus Stand-Thakurpukur,",700063
660,Bani Park Hospital( Heart. Eecp & Multispecialty),Rajasthan,Jaipur,"D-9, Kabir Marg, Bani Park, Jaipur",302016
661,Bankers Heart Institute,Gujarat,Baroda,"Near Tagorenagar,Old Padra Road,Opp Suryakiran Building,",390015
662,Bankura Nursing Home,West Bengal,Bankura,"Patpur,Bankura",722101
663,Bansal Hospital & Research Centre Pvt Ltd,Delhi,Delhi,"3590, Bajar Sitaram, Delhi",110006
664,Bansal Hospital And Research Centre,Rajasthan,Jaipur,"#4, Janakpuri-1St, Imli Phatak.",302005
665,Bansal Hospital(A Unit Of Namedi Hospitalpvt Ltd,Delhi,Delhi,"No.A-1,New Friend'S Colony,",110065
666,Bansal Nursing Centre (A Unit Of Pahari Mata Medical (P) Ltd),West Bengal,Howrah,"# 20, Dobson Road,Howrah-711101.",711101
667,Bapat Hospital,Madhya Pradesh,Indore,"Ahd-30, Sukhlia",452010
668,Bappu Clinic & Nursing Home,Tamilnadu,Chennai,"#46, Kalaingar Main Road,Srinivasa Nagar, Perungalatur,",600063
669,Baptist Christian Hospital,Assam,Sonitpur,"Mission Chariali, 4 Corps Army Battalion. Tezpur",784001
670,Bapuji Maternity & Nursing Home,Andhra Pradesh,Hyderabad,"7-44,Bapuji Nagarnacharam",500076
671,Bapuji Nursing Home,Karnataka,Tumkur,"1St Cross, Someshwar Puram,Tumkur-572102.",572102
672,Baradkar Hospital & Maternity Home,Maharashtra,Mumbai,"14,A-3,Meera Queen,Opp Laxmi Cars,W.E.Highway,Kashimira,Thane",401107
673,Bardia Hospital,Maharashtra,Amravati,"Paratwada, Amravati,Opp. S.T. Stand.",444805
